MODELO	PASO
A0550	APARIENCIA:           CRISTALES FINOS
A0550	"O L O R:              INTENSO, FLORAL"
A0550	C O L O R:            BLANCO
A0550	P U R E Z A:          MINIMO 98%
A0550	SOLUBILIDAD:          EN PROPILENGLICOL INS. EN GLICERINA
A0550	PUNTO DE FUSION:      MINIMO  36  C
L4205-1	APARIENCIA      LIQUIDO
L4205-1	COLOR           AMARILLO / AMARILLO NARANJA
L4205-1	"OLOR             CARACTERISTICI, CITRICO, LIMON."
L4207	APARIENCIA
L3800	APARIENCIA
M9269	APARIENCIA
17-11	APARIENCIA
F8022	APARIENCIA
S7500	APARIENCIA
S7500	COLOR
S7500	OLOR
S7500	DENSIDAD
S7500	INDICE DE REFRACCION
V2701	APARIENCIA
V2701	COLOR
B4000	APARIENCIA
D7511-2	APARIENCIA
D7511-2	COLOR
D7511-2	OLOR
C7777-1	APARIENCIA
C7777-1	COLOR
C7777-1	OLOR
E0000-1	APARIENCIA
F6000	APARIENCIA
F6000	COLOR
F6000	OLOR
F8021	APARIENCIA
F8021	COLOR
F8021	OLOR
L4520	APARIENCIA
L4520	CLOR
L4520	OLOR
17-12	APARIENCIA
17-36	APARIENCIA
17-36	COLOR
17-36	OLOR
17-36	
12-52	APARIENCIA
12-52	COLOR
07-21	APARIENCIA
07-21	OLOR
07-21	OLOR
07-11	APARIENCIA
12-27	APARIENCIA
12-27	COLOR
12-27	OLOR
P6030	APARIENCIA
C7950-1	APARIENCIA
19-10	APARIENCIA
19-10	COLOR
19-10	OLOR
M5200	APA
M5200	APARIENCIA
M5200	OLOR
M5200	OLOR
E7600	APARIENCIA
E7600	COLOR
E7600	OLOR
N9270	APARIENCIA
P4700	APARIENCIA:          CRISTALES                          CRISTALES
P4700	"O L O R:             SUAVE, ALMIZCLADO                  CUMPLE"
P4700	C O L O R:           BLANCO                             BLANCO
P4700	PUNTO DE FUSION:          >53 C                         55.2
P4700	P U R E Z A:              >97%                          99.03%
M0510	APARIENCIA
V2800-1	APARIENCIA
L7000	APARIENCIA
E0400	APARIENCIA
E0601	APARIENCIA
C8695	APARIENCIA
12-53	APARIENCIA
F5100	APARIENCIA
02-100	APARIENCIA
12-23	APARIENCIA
12-15	APARIENCIA
06-20	APARIENCIA
E0650	APARIENCIA
E0500	APARIENCIA
B1001-1	APARIENCIA
12-61-01	APARIENCIA
01-70	APARIENCIA
15-42	APARIENCIA
L2500	APARIENCIA
H2700-2	APARIENCIA
F8001	APARIENCIA
OR22-01	APARIENCIA
L1551	APARIENCIA
X3000	APARIENCIA
A6300	PARIENCIA
A9001	APARIENCIA
B0510	APARIENCIA
D0000	APARIENCIA
E0000	APARIENCIA
S2500	APARIENCIA
S7000-1	APARIENCIA
S7500-1	PARIENCIA
S7600	APARIENCIA
S8000	APARIENCIA
V2600	APARIENCIA
V2801	APARIENCIA
L4400	APARIENCIA
G1600	APARIENCIA
15-02	APARIENCIA
15-10	APARIENCIA
F8200	APARIENCIA
05-05	APARIENCIA
M2000	APARIENCIA
03-35-1	APARIENCIA
S0710-1	APARIENCIA
01-69	APARIENCIA
12-11	APARIENCIA
01-25	APARIENCIA
S9100	APARIENCIA
P0500	APARIENCIA
P2000	APARIENCIA
P4000	APARIENCIA
E6000	APARIENCIA
E1000	APARIENCIA
E0100	APARIENCIA
E0050	APARIENCIA
D0100	APARIENCIA
M9200	APARIENCIA
01-65	APARIENCIA
02-25	APARIENCIA
06-25	APARIENCIA
V1000	APARIENCIA
H7000	APARIENCIA
H6000	APARIENCIA
F5000	APARIENCIA
C7777-2	APARIENCIA
A7250	APARIENCIA
P0700	APARIENCIA
E0200	APARIENCIA
E0250	APARRIENCIA
E0300	APARIENCIA
E0550	APARIENCIA
F5050	APARIENCIA
V2500	APARIENCIA
H2700	APARIENCIA
G2600-1	APARIENCIA:         LIQUIDO MOVIL
G2600-1	"O L O R:            FRUTAL, LIGERAMENTE BUTIRICO"
G2600-1	C O L O R:          INCOLORO - AMARILLO PALIDO
G2600-1	DENSIDAD A 25 C:    0.890  -  0.904
G2600-1	INDICE DE REFRACCION A 20 C:  1.4550  -  1.4630
G2600-1	SOLUBILIDAD:     ALCOHOL ETILICO  Y  ACEITES  FIJOS
G2600-1	PUREZA (G.L.C.)            (% ESTERES TOTALES)  93%MINIMO
D0500	APARIENCIA:     LIQUIDO VISCOSO QUE INFLUYE
D0500	O L O R :        CARACTERISTICA
D0500	"COLOR:            AMARILLO MEDIO, AMARILLO NARANJA"
D0500	DENSIDAD 25C:             1.025  1.039
D0500	INDICE DE REFACCION 20C:  1.3750  1.3850
D0500	SOLUBILIDAD:              A G U A
L7000	APARIENCIA:   LIQUIDO MOVIL
L7000	O L O R :     FRESCO A BERGAMOTA
L7000	C O L O R :   INCOLORO
L7000	PESO ESPECIFICO
L7000	A 25C:          0.880  0.919
L7000	INDECE DE REFACCION
L7000	A 20C:          1.4490  1.4560
L7000	SOLUBILIDAD:    EN 8 PARTES ALCOHOL ETILICO 70%
L4400	APARIENCIA:    LIQUIDO MOVIL
L4400	"O L O R :      CITRICO,POTENTE,BLILLANTE"
L4400	C O L O R :    AMARILLO PALIDO - AMARILLO MEDIO
L4400	PESO ESPECIFICO
L4400	A 25 C:        0.969  -  0.985
L4400	INDICE DE REFRACCION
L4400	A 20 C:        1.4820  -  1.4920
L4400	SOLUBILIDAD:   ALCOHOL ETILICO Y ACEITES FIJOS
01-12	APARIENCIA:
12-50	APARIENCIA:    LIQUIDO MOVIL
12-50	"O L O R :      LAVANDA, POTENTE DIFUSIVO"
12-50	C O L O R :    AMARILLO MEDIO - AMARILLO NARANJA
12-50	PESO ESPECIFICO
12-50	A 25 C:        0.880  -  0.899
12-50	INDICE DE REFRACCION
12-50	A 20 C:        1.4550  -  1.4650
12-50	SOLUBILIDAD:   ALCOHOL ETILICO Y ACEITES FIJOS
P9000-10	APARIENCIA:              LIQUIDO MOVIL                   LIQUIDO MOVIL
P9000-10	"OLOR:                    DULCE,FRUTAL,FLORAL             CUMPLE"
P9000-10	                         LIGERAMENTE AVAINILLADO
P9000-10	COLOR:                   INCOLORO                        INCOLORO
P9000-10	PESO ESPECIFICO          1.065   -   1.095               1.082
P9000-10	A  25 C:
P9000-10	INDICE DE REFRACCION     1.5030  -   1.5130              1.5075
P9000-10	A  20 C:
P9000-10	SOLUBILIDAD:             ALCOHOL ETILICO Y ACEITES       CUMPLE
P9000-10	                                 FIJOS
P9000-30	APARIENCIA:              LIQUIDO MOVIL
P9000-30	"OLOR:                    FRESCO,ETEREO,FRUTAL"
P9000-30	                         RECUERDA A MANZANA
P9000-30	COLOR:                   INCOLORO
P9000-30	PESO ESPECIFICO          0.875   -   0.900
P9000-30	A  25 C:
P9000-30	INDICE DE REFRACCION     1.3860  -   1.3960
P9000-30	"SOLUBILIDAD:             ALCOHOL ETILICO, ACEITES"
P9000-30	                         FIJOS Y PROPIPENGLICOL
A0801-10	APARIENCIA:              LIQUIDO MOVIL
A0801-10	"OLOR:                    POTENTE, PENETRANTE"
A0801-10	"                         PUNGENTE, AGRIO"
A0801-10	COLOR:                   INCOLORO
A0801-10	PESO ESPECIFICO          0.794   -   0.810
