ALM	MODELO	LLAVE	LLAVE1	DESCRI	CVEPROD	CVEUNID	UNIDAD	EXI	EXIACT	COSUNI	COSPRO	COSACT	MINIMO	MAXIMO	ANAQUEL	TIPCOS	SDOANT	SALDO	BACKLOG	SURTREB	SURTANT	BACKORD	RECIBO	ESTANTE	LINEA	MESRESP	MIN_SURT	PVP	CAS	ONU	IN	TX	CO	IR	PS	MA
01	00000	1	0		25101611	H87	H87	0.000	0.000	0.00	1.28	0.00	0.500	5.000	01	4	0.00	0.00	-1863.700	0.000	0.000	1.400	0.000	1	1	1.000	0	0.00								
50	E0010	0	0	00.010 ML. ENVASE PERFUMERIA	12352000	KGM	KGS.	0.000	0.000	0.00	0.11	0.00	100.000	500.000	50	4	0.00	0.00	0.000	0.000	0.000	0.000	0.000	1	50	1.000	0	0.00								
50	E0020	0	0	00.030 ML. ENVASE PERFUMERIA	12352000	KGM	KGS.	0.000	0.000	0.00	0.00	0.00	100.000	200.000	50	4	0.00	0.00	0.000	0.000	0.000	0.000	0.000	1	50	1.000	0	0.00								
50	E0050	0	0	00.060 ML. ENVASE PERFUMERIA	12352000	KGM	KGS.	0.000	0.000	0.00	0.61	0.00	100.000	200.000	50	4	0.00	0.00	0.000	0.000	0.000	0.000	0.000	1	50	1.000	0	0.00								
50	E0100	0	0	00.100 ML. ENVASE PRODUCCION	12352000	KGM	KGS.	0.000	0.000	0.00	0.00	0.00	20.000	100.000	50	4	0.00	0.00	0.000	0.000	0.000	0.000	0.000	1	50	1.000	0	0.00								
50	E0150	0	0	00.120 ML. ENVASE PERFUMERIA	12352000	KGM	KGS.	0.000	0.000	0.00	0.07	0.00	50.000	100.000	50	4	0.00	0.00	0.000	0.000	0.000	0.000	0.000	1	50	1.000	0	0.00								
50	E0200	0	0	00.125 ML. ENVASE PRODUCCION	12352000	KGM	KGS.	0.000	0.000	0.00	0.10	0.00	50.000	200.000	50	4	0.00	0.00	0.000	0.000	0.000	0.000	0.000	1	50	1.000	0	0.00								
50	E0250	0	0	00.250 ML. ENVASE PRODUCCION	12352000	KGM	KGS.	0.000	0.000	0.00	0.14	0.00	50.000	200.000	50	4	0.00	0.00	0.000	0.000	0.000	0.000	0.000	1	50	1.000	0	0.00								
50	E0350	0	0	 2.000 ML. ENVASE PRODUCCION	12352000	KGM	KGS.	0.000	0.000	0.00	0.43	0.00	50.000	200.000	50	4	0.00	0.00	0.000	0.000	0.000	0.000	0.000	1	50	1.000	0	0.00								
50	E0400	0	0	20.000 ML. ENVASE PRODUCCION	12352000	KGM	KGS.	40.000	100.000	0.00	4.14	0.00	50.000	200.000	50	4	136.00	368.20	0.000	0.000	0.000	0.000	0.000	1	50	1.000	0	0.00								
50	E0500	0	0	 4.000 ML. ENVASE PRODUCCION	12352000	KGM	KGS.	0.000	204.000	0.00	1.06	0.00	50.000	100.000	50	4	0.00	196.74	0.000	0.000	0.000	0.000	0.000	1	50	1.000	0	0.00								
50	E0550	0	0	 5.000 ML. ENVASE PRODUCCION	12352000	KGM	KGS.	0.000	138.000	0.00	1.76	0.00	50.000	100.000	50	4	0.00	201.84	0.000	0.000	0.000	0.000	0.000	1	50	1.000	0	0.00								
50	E0600	0	0	50.000 ML. ENVASE PRODUCCION	12352000	KGM	KGS.	8.000	40.000	0.00	11.52	0.00	5.000	10.000	50	4	79.20	435.68	0.000	0.000	0.000	0.000	0.000	1	50	1.000	0	0.00								
